N	english	spelling	script	IPA
184	old	vetus	vetvs	ˈwɛ.t̪ʊs
185	good	bonus	bonvs	ˈbɔ.nʊs
186	bad	malus	malvs	ˈma.ɫʊs
187	rotten	putridus	pvtridvs	ˈpʊ.t̪rɪ.d̪ʊs
188	dirty	sordidus, immundus	sordidvs, immvndvs	ˈsɔr.d̪ɪ.d̪ʊs, ɪm.mʊn̪.d̪ʊs
189	straight	rectus	rectvs	ˈreːk.t̪ʊs
190	round	rotundus	rotvndvs	rɔ.ˈt̪ʊn̪.d̪ʊs
191	sharp (as a knife)	acutus	acvtvs	a.ˈkuː.t̪ʊs
192	dull (as a knife)	hebes, retusus	hebes, retvsvs	ˈhɛ.bɛs, rɛ.ˈt̪uː.sʊs
193	smooth	suavis	svavis	sʊ.ˈaː.wɪs
194	wet	umidus, aqueus	vmidvs, aqvevs	ˈuː.mɪ.d̪ʊs, ˈa.kᶣe.ʊs
195	dry	siccus	siccvs	ˈsɪk.kʊs
196	correct	rectus	rectvs	ˈreːk.t̪ʊs
197	near	propinquus, proximus	propinqvvs, proximvs	prɔ.ˈpɪŋ.kʷʊs, ˈprɔk.sɪ.mʊs
198	far	longus	longvs	ˈɫɔŋ.ɡʊs
199	right	dexter	dexter	ˈd̪ɛks̪.t̪ɛ̞r
200	left	laevus, sinister	laevvs, sinister	ˈɫae̯.wʊs, sɪ.ˈnɪs̪.t̪ɛ̞r
201	at	ad, in	ad, in	ˈad, ˈɪn
202	in	in	in	ˈɪn
203	with	cum	cvm	ˈkʊ̃ˑ
204	and	et, -que	et, -qve	ɛt̪, -kᶣɛ
205	if	si	si	ˈsiː
206	because	quod	qvod	kʷɔd̪
207	name	nomen	nomen	ˈnoːmɛn
