Gen	lnL	lnP	TL	Insertion	Deletion	
24900	-36035.4	-971.375	3.23328	0.188483	0.223291	
25000	-36045.1	-971.326	3.19447	0.188483	0.223291	
25100	-36065.2	-973.362	3.31327	0.188483	0.223291	
25200	-36059.6	-973.023	3.31327	0.188483	0.223291	
25300	-36086.6	-974.323	3.35859	0.188483	0.223291	
25400	-36100.1	-975.385	3.39694	0.188483	0.223291	
25500	-36125.2	-976.264	3.41708	0.188483	0.223291	
25600	-36116.5	-976.264	3.41708	0.188483	0.223291	
25700	-36117.1	-976.299	3.40363	0.188483	0.223291	
25800	-36126.2	-976.28	3.36783	0.188483	0.223291	
25900	-36144.3	-977.137	3.36783	0.190853	0.2261	
26000	-36138.1	-977.629	3.46892	0.190932	0.226021	
26100	-36125.6	-975.494	3.30606	0.190932	0.226021	
26200	-36131.8	-975.831	3.30606	0.190932	0.226021	
26300	-36140.7	-975.757	3.30606	0.19436	0.229089	
26400	-36139.8	-976.228	3.33671	0.19436	0.229089	
26500	-36150.8	-976.886	3.33671	0.19436	0.229089	
26600	-36149.6	-977.214	3.33671	0.19436	0.229089	
26700	-36155.1	-977.912	3.40648	0.19436	0.229089	
26800	-36147	-977.419	3.40648	0.19436	0.229089	
26900	-36144.2	-976.844	3.34896	0.19436	0.229089	
27000	-36141.5	-975.957	3.24381	0.19436	0.229089	
27100	-36146.2	-976.674	3.28267	0.19436	0.229089	
27200	-36132.1	-977.456	3.44311	0.19436	0.229089	
27300	-36140.2	-977.973	3.18299	0.207917	0.245068	
27400	-36127.7	-979.198	3.35483	0.207917	0.245068	
27500	-36127.5	-977.851	3.17077	0.207917	0.245068	
27600	-36115.7	-977.851	3.17077	0.207917	0.245068	
27700	-36142.5	-978.673	3.17077	0.207917	0.245068	
27800	-36126.1	-978.4	3.32073	0.202797	0.239034	
27900	-36121.7	-978.235	3.32073	0.202797	0.239034	
28000	-36136.1	-978.893	3.32073	0.202797	0.239034	
28100	-36101.1	-978.368	3.38334	0.202797	0.239034	
28200	-36086.7	-977.031	3.28255	0.202797	0.239034	
28300	-36103.2	-977.24	3.28693	0.202797	0.239034	
28400	-36098.4	-977.075	3.28693	0.202797	0.239034	
28500	-36087.3	-977.24	3.28693	0.202797	0.239034	
28600	-36078.7	-977.075	3.28693	0.202797	0.239034	
28700	-36077.5	-976.746	3.28693	0.202797	0.239034	
28800	-36079.5	-977.112	3.28693	0.194564	0.231314	
28900	-36084.1	-978.096	3.36803	0.194564	0.231314	
29000	-36078.2	-977.963	3.47867	0.194859	0.23102	
29100	-36067.7	-976.865	3.40287	0.194859	0.23102	
