Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
410	-6366.833	-6360.328	-6.504309	3.407305	0.0839488	0.23145	0.188576	0.101328	0.133853	0.123542	0.24069	0.375224	0.294196	0.18718	0.106968	0.0768267	0.210828	0.101896	0.122374	0.27788	0.0529522	0.202906	0.418508	0.751847	1.0839	1.74574	3.112618
420	-6366.192	-6359.811	-6.381088	3.639666	0.0291804	0.202529	0.154891	0.0666393	0.07622	0.166547	0.292952	0.347953	0.342528	0.218532	0.15779	0.0999167	0.159384	0.0862553	0.0619141	0.294287	0.0675438	0.275234	0.433401	0.761748	1.08426	1.72059	3.100296
430	-6367.183	-6360.144	-7.03986	2.793889	0.0156988	0.227132	0.170591	0.0477934	0.116305	0.140826	0.231123	0.370585	0.26042	0.216824	0.126441	0.0552727	0.19124	0.10427	0.123464	0.359048	0.043191	0.365947	0.37266	0.719438	1.08129	1.82661	3.166173
440	-6369.355	-6359.405	-9.950108	2.905807	0.0391852	0.196846	0.122564	0.0657437	0.117132	0.119466	0.291602	0.505193	0.449699	0.206999	0.062768	0.111493	0.226251	0.0513005	0.135418	0.38623	0.0493043	0.320003	0.381841	0.726176	1.08201	1.80997	3.457197
450	-6366.401	-6356.168	-10.2328	3.067353	0.0396862	0.123045	0.144859	0.060331	0.103584	0.155067	0.320022	0.485929	0.364945	0.281453	0.098256	0.0758955	0.212537	0.0766734	0.107216	0.458493	0.102764	0.274712	0.394406	0.73519	1.08283	1.78757	3.485467
460	-6368.053	-6359.932	-8.121318	3.266965	0.0851047	0.165664	0.151153	0.0628419	0.147256	0.166833	0.207278	0.418418	0.293028	0.302423	0.113343	0.0915424	0.198576	0.0837117	0.153007	0.327287	0.0765947	0.230258	0.408915	0.745314	1.08355	1.76222	3.274318
470	-6362.81	-6357.28	-5.530677	4.20891	0.145086	0.131318	0.172222	0.0460787	0.10353	0.142311	0.271353	0.341128	0.30582	0.233093	0.0916327	0.0603933	0.185518	0.0584532	0.105646	0.374619	0.0881001	0.158953	0.465483	0.782137	1.08431	1.66807	3.015254
480	-6364.908	-6358.572	-6.336467	3.346342	0.136286	0.181226	0.16789	0.080221	0.10368	0.154635	0.259881	0.374013	0.38443	0.207269	0.154465	0.0628522	0.21182	0.0663551	0.0802762	0.225077	0.0747028	0.170754	0.414399	0.749064	1.08376	1.75277	3.095833
490	-6367.271	-6360.871	-6.400346	3.235103	0.173264	0.153279	0.125338	0.0600301	0.122394	0.123973	0.267059	0.359192	0.35638	0.208809	0.17618	0.0591423	0.117748	0.0974902	0.147287	0.329517	0.0898965	0.135243	0.40667	0.743767	1.08345	1.76611	3.102221
500	-6368.564	-6360.385	-8.179535	4.275198	0.126036	0.13095	0.178289	0.0764591	0.0738194	0.179322	0.280614	0.417563	0.443141	0.233262	0.107639	0.0577188	0.193775	0.0281638	0.112298	0.352291	0.0896914	0.199109	0.46887	0.784219	1.08427	1.66265	3.28014
510	-6372.457	-6365.002	-7.454406	2.17548	0.164293	0.0625803	0.123473	0.056099	0.0754768	0.15972	0.300288	0.349355	0.407197	0.231426	0.130462	0.0501912	0.230292	0.088909	0.0981312	0.476869	0.0527993	0.150066	0.313359	0.672464	1.07382	1.94036	3.207627
520	-6368.553	-6361.99	-6.563118	4.06272	0.0554222	0.0761716	0.208651	0.0803432	0.0821228	0.16612	0.326449	0.403337	0.376759	0.259308	0.11129	0.0708687	0.132985	0.118241	0.0978331	0.288326	0.0557142	0.208557	0.457775	0.77735	1.08439	1.68049	3.118499
530	-6367.681	-6361.591	-6.090598	4.408767	0.0329408	0.125956	0.183273	0.0389258	0.132049	0.126873	0.242064	0.329418	0.346556	0.331135	0.065549	0.0980357	0.184515	0.055078	0.121861	0.329329	0.0693467	0.25834	0.475499	0.788256	1.08415	1.6521	3.071247
540	-6371	-6362.442	-8.558026	2.691257	0.0543374	0.114358	0.127001	0.0339057	0.14195	0.171447	0.303173	0.525948	0.32515	0.303241	0.0718226	0.067857	0.241475	0.0711117	0.149362	0.348725	0.0378266	0.2293	0.363871	0.712861	1.0805	1.84277	3.317989
550	-6364.511	-6356.419	-8.091529	3.79394	0.192806	0.183284	0.142833	0.0590779	0.09731	0.151599	0.288209	0.426718	0.387489	0.228777	0.0853681	0.084832	0.179002	0.103768	0.175749	0.2791	0.0550912	0.150327	0.442671	0.767768	1.08437	1.70519	3.27134
560	-6367.387	-6357.999	-9.387836	4.682605	0.150561	0.151004	0.155251	0.0853085	0.148966	0.12321	0.270474	0.535443	0.41729	0.258881	0.0647348	0.0982708	0.211281	0.0836989	0.124286	0.319114	0.0528678	0.150327	0.488336	0.795935	1.08381	1.63192	3.40097
570	-6367.683	-6356.301	-11.38147	2.851569	0.203212	0.240992	0.222692	0.0558563	0.117014	0.17323	0.301491	0.523946	0.396898	0.221239	0.0689435	0.0546114	0.237222	0.0643391	0.141671	0.358829	0.0583578	0.159789	0.377443	0.722964	1.08168	1.81792	3.600333
580	-6370.365	-6362.177	-8.187989	4.105846	0.127477	0.211266	0.181649	0.0919507	0.138388	0.176667	0.25671	0.369795	0.363021	0.264041	0.206446	0.0795167	0.190297	0.0745477	0.084382	0.22932	0.0632823	0.17223	0.460084	0.778792	1.08437	1.67675	3.280986
590	-6364.786	-6355.674	-9.111665	3.69492	0.143045	0.235314	0.183413	0.0655759	0.130285	0.100837	0.307595	0.382107	0.390889	0.246849	0.0923699	0.0690831	0.204531	0.0916674	0.106887	0.337718	0.095586	0.189602	0.436775	0.763951	1.08431	1.71496	3.373353
600	-6374.043	-6365.853	-8.189957	7.056768	0.24741	0.183779	0.116448	0.0359366	0.134927	0.153335	0.272878	0.281097	0.340373	0.256815	0.104992	0.101821	0.237278	0.0823625	0.171308	0.386219	0.0872861	0.0869158	0.570097	0.840959	1.07882	1.51012	3.281182
610	-6364.614	-6357.815	-6.799021	3.409602	0.225824	0.150904	0.183652	0.0416426	0.0937532	0.135904	0.283982	0.461287	0.388852	0.171262	0.118543	0.0799931	0.139137	0.0650288	0.121465	0.2839	0.0830354	0.113923	0.418661	0.75195	1.08391	1.74548	3.142089
620	-6367.285	-6359.29	-7.994939	3.39691	0.270493	0.173243	0.161606	0.0459468	0.087536	0.186514	0.256063	0.546238	0.284728	0.215433	0.112082	0.0401473	0.249009	0.105163	0.0932328	0.302042	0.0903111	0.0418919	0.417813	0.751378	1.08388	1.74693	3.261681
630	-6364.052	-6355.81	-8.242157	3.537255	0.2844	0.159546	0.161507	0.0598036	0.102368	0.151718	0.298361	0.502391	0.329007	0.186054	0.0890334	0.0602998	0.176874	0.0866727	0.101038	0.363247	0.0788111	0.095269	0.426981	0.757515	1.08413	1.73137	3.286402
